,time_casa,time_visitante,totalgolsht,possebolacasaht,possebolavisitanteht,chutescasaht,chutesvisitanteht,chutesnogolcasaht,chutesnogolvisitanteht,chutesforagolcasaht,chutesforagolvisitanteht,chutesbloqueadoscasaht,chutesbloqueadosvisitanteht,cornercasaht,cornervisitanteht,chutesdentroareacasaht,chutesdentroareavisitanteht,chutesforaareacasaht,chutesforaareavisitanteht,defesasgoleirocasaht,defesasgoleirovisitanteht,passescasaht,passesvisitanteht,passescertoscasaht,passescertosvisitanteht,duelosganhoscasaht,duelosganhosvisitanteht,disputasaereasvencidascasaht,disputasaereasvencidasvisitanteht,PSH,PSD,PSA,vencedorft
0,Bournemouth,West Brom,0,61,39,7,4,3,3,1,1,3,0,2,2,3,2,4,2,3,3,301,182,82,73,22,25,9,10,1.85,3.6,4.94,H
1,Watford,Newcastle,1,64,36,6,2,2,1,1,1,3,0,3,0,2,1,4,1,0,2,313,171,86,72,28,35,15,10,1.81,3.78,4.9,D
2,Crystal Palace,Chelsea,1,41,59,5,4,2,2,2,0,1,2,4,3,3,2,2,2,1,2,169,262,69,77,31,28,10,8,3.98,3.49,2.07,A
3,Newcastle,Watford,2,57,43,7,9,2,4,4,4,1,1,2,3,4,5,3,4,2,2,236,181,81,69,27,27,4,6,2.54,3.36,3.04,A
4,Arsenal,Bournemouth,1,62,38,6,2,3,1,2,0,1,1,7,1,6,1,0,1,1,2,316,200,88,80,23,23,7,4,1.45,4.86,8.07,H
5,Leicester,Everton,2,35,65,11,3,4,0,5,2,2,1,3,1,7,2,4,1,0,2,165,307,74,84,38,24,14,6,1.91,3.98,4.07,H
6,Everton,West Brom,2,64,36,10,3,4,1,4,1,2,1,4,2,5,1,5,2,1,2,320,172,82,69,22,32,9,14,1.68,3.89,6.0,H
7,Arsenal,Man United,0,51,49,5,4,2,2,0,2,3,0,5,5,4,4,1,0,2,2,275,260,87,85,23,24,6,8,1.94,3.72,4.22,H
8,Watford,Tottenham,3,36,64,2,13,0,4,0,7,2,2,0,2,1,8,1,5,1,0,172,289,63,82,26,22,10,5,5.71,3.94,1.69,A
9,Southampton,Sunderland,0,59,41,6,3,3,0,2,2,1,1,5,2,4,3,2,0,0,3,233,158,75,62,23,25,11,12,1.63,4.04,6.29,D
