classifier_name,dataset_name,accuracy
clf3,dataset1,0.81978021978022
clf3,dataset2,0.80306905370844
clf3,dataset3,0.84
clf3,dataset4,0.7
clf3,dataset5,0.85
clf3,dataset6,0.9
clf3,dataset7,0.9
clf3,dataset8,0.997777777777778
clf3,dataset9,0.873177083333333
clf3,dataset10,0.864492753623188
clf3,dataset11,1
clf3,dataset12,0.772
clf3,dataset13,0.841025641025641
clf3,dataset14,0.838461538461539
clf3,dataset15,0.858974358974359
clf5,dataset1,0.454945054945055
clf5,dataset2,0.838874680306905
clf5,dataset3,0.822857142857143
clf5,dataset4,0.7
clf5,dataset5,0.9
clf5,dataset6,1
clf5,dataset7,0.9
clf5,dataset8,0.994444444444444
clf5,dataset9,0.823697916666667
clf5,dataset10,0.83768115942029
clf5,dataset11,1
clf5,dataset12,0.82
clf5,dataset13,0.794871794871795
clf5,dataset14,0.766666666666667
clf5,dataset15,0.802564102564103
clf1,dataset1,0.69010989010989
clf1,dataset2,0.017902813299233
clf1,dataset3,0.302857142857143
clf1,dataset4,0.2
clf1,dataset5,0.5
clf1,dataset6,0.5
clf1,dataset7,0.233333333333333
clf1,dataset8,0.333333333333333
clf1,dataset9,0.532552083333333
clf1,dataset10,0.901449275362319
clf1,dataset11,0.535714285714286
clf1,dataset12,0.592
clf1,dataset13,0.664102564102564
clf1,dataset14,0.584615384615385
clf1,dataset15,0.638461538461538
clf4,dataset1,0.483516483516483
clf4,dataset2,0.414322250639386
clf4,dataset3,0.794285714285714
clf4,dataset4,0.666666666666667
clf4,dataset5,0.85
clf4,dataset6,0.8
clf4,dataset7,0.8
clf4,dataset8,0.861111111111111
clf4,dataset9,0.8125
clf4,dataset10,0.848550724637681
clf4,dataset11,1
clf4,dataset12,0.576
clf4,dataset13,0.58974358974359
clf4,dataset14,0.597435897435897
clf4,dataset15,0.630769230769231
clf2,dataset1,0.523076923076923
clf2,dataset2,0.406649616368286
clf2,dataset3,0.662857142857143
clf2,dataset4,0.5
clf2,dataset5,0.75
clf2,dataset6,0.9
clf2,dataset7,0.766666666666667
clf2,dataset8,0.915555555555556
clf2,dataset9,0.549739583333333
clf2,dataset10,0.266666666666667
clf2,dataset11,0.928571428571429
clf2,dataset12,0.596
clf2,dataset13,0.620512820512821
clf2,dataset14,0.658974358974359
clf2,dataset15,0.612820512820513
