;Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Referee;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;PSH;PSD;PSA;WHH;WHD;WHA;VCH;VCD;VCA;Bb1X2;BbMxH;BbAvH;BbMxD;BbAvD;BbMxA;BbAvA;BbOU;BbMx>2.5;BbAv>2.5;BbMx<2.5;BbAv<2.5;PSCH;PSCD;PSCA
0;E0;2017-08-11;Arsenal;Leicester;4.0;3.0;H;2.0;2.0;D;M Dean;27.0;6.0;10.0;3.0;9.0;12.0;9.0;4.0;0.0;1.0;0.0;0.0;1.53;4.5;6.5;1.53;4.55;6.85;1.53;4.2;6.0;1.53;4.5;6.5;41.0;1.55;1.51;4.6;4.43;6.89;6.44;37.0;1.65;1.61;2.43;2.32;1.49;4.73;7.25
1;E0;2017-08-12;Brighton;Man City;0.0;2.0;A;0.0;0.0;D;M Oliver;6.0;14.0;2.0;4.0;6.0;9.0;3.0;10.0;0.0;2.0;0.0;0.0;11.0;5.5;1.33;10.95;5.55;1.34;10.0;4.8;1.33;10.0;5.5;1.33;40.0;11.5;10.1;5.6;5.25;1.36;1.32;35.0;1.7;1.63;2.4;2.27;11.75;6.15;1.29
2;E0;2017-08-12;Chelsea;Burnley;2.0;3.0;A;0.0;3.0;A;C Pawson;19.0;10.0;6.0;5.0;16.0;11.0;8.0;5.0;3.0;3.0;2.0;0.0;1.25;6.5;15.0;1.26;6.3;15.25;1.25;5.5;13.0;1.25;6.25;15.0;41.0;1.27;1.24;6.55;6.06;15.5;13.67;36.0;1.71;1.66;2.33;2.23;1.33;5.4;12.25
3;E0;2017-08-12;Crystal Palace;Huddersfield;0.0;3.0;A;0.0;2.0;A;J Moss;14.0;8.0;4.0;6.0;7.0;19.0;12.0;9.0;1.0;3.0;0.0;0.0;1.83;3.6;5.0;1.83;3.58;5.11;1.8;3.3;5.0;1.83;3.6;5.0;41.0;1.86;1.81;3.65;3.5;5.11;4.82;36.0;2.19;2.11;1.79;1.72;1.79;3.56;5.51
4;E0;2017-08-12;Everton;Stoke;1.0;0.0;H;1.0;0.0;H;N Swarbrick;9.0;9.0;4.0;1.0;13.0;10.0;6.0;7.0;1.0;1.0;0.0;0.0;1.7;3.8;5.75;1.7;3.83;5.81;1.7;3.5;5.5;1.7;3.8;5.75;40.0;1.71;1.69;3.85;3.69;6.0;5.5;35.0;2.17;2.08;1.8;1.76;1.82;3.49;5.42
5;E0;2017-08-12;Southampton;Swansea;0.0;0.0;D;0.0;0.0;D;M Jones;29.0;4.0;2.0;0.0;10.0;13.0;13.0;0.0;2.0;1.0;0.0;0.0;1.62;4.0;6.5;1.64;3.94;6.35;1.62;3.6;6.0;1.65;4.0;5.5;41.0;1.66;1.61;4.05;3.84;6.5;5.98;36.0;2.17;2.08;1.8;1.75;1.56;4.25;6.85
6;E0;2017-08-12;Watford;Liverpool;3.0;3.0;D;2.0;1.0;H;A Taylor;9.0;14.0;4.0;5.0;14.0;8.0;3.0;3.0;0.0;3.0;0.0;0.0;6.0;4.2;1.62;5.74;4.29;1.63;5.5;3.8;1.62;6.0;4.0;1.65;41.0;6.5;5.75;4.3;4.06;1.65;1.6;37.0;1.89;1.82;2.08;1.99;6.88;4.27;1.56
7;E0;2017-08-12;West Brom;Bournemouth;1.0;0.0;H;1.0;0.0;H;R Madley;16.0;9.0;6.0;2.0;15.0;3.0;8.0;2.0;3.0;1.0;0.0;0.0;2.4;3.3;3.3;2.46;3.25;3.26;2.5;3.1;3.0;2.5;3.3;3.13;41.0;2.5;2.43;3.3;3.19;3.3;3.11;36.0;2.25;2.16;1.75;1.7;2.65;3.21;3.02
8;E0;2017-08-13;Man United;West Ham;4.0;0.0;H;1.0;0.0;H;M Atkinson;22.0;9.0;6.0;1.0;19.0;7.0;11.0;1.0;2.0;2.0;0.0;0.0;1.3;5.75;12.0;1.33;5.68;10.85;1.3;5.0;11.0;1.3;5.5;11.5;40.0;1.35;1.31;5.75;5.29;13.0;10.74;35.0;1.76;1.7;2.25;2.16;1.31;5.79;12.01
9;E0;2017-08-13;Newcastle;Tottenham;0.0;2.0;A;0.0;0.0;D;A Marriner;6.0;18.0;3.0;6.0;6.0;10.0;5.0;7.0;1.0;2.0;1.0;0.0;5.5;4.0;1.7;5.35;4.0;1.71;5.0;3.75;1.7;5.5;4.0;1.7;41.0;5.5;5.16;4.0;3.87;1.75;1.69;36.0;1.88;1.81;2.07;2.01;4.82;3.9;1.8
