;HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date
0;Asteras Tripolis;Giannina;A;1.7;3.4;5.5;G1;2017-08-19
1;Olympiakos;Larisa;H;1.17;7.0;15.0;G1;2017-08-19
2;Xanthi;Lamia;D;1.67;3.3;6.0;G1;2017-08-19
3;AEK;Panetolikos;H;1.36;4.5;9.0;G1;2017-08-20
4;Kerkyra;Panionios;A;3.75;3.1;2.1;G1;2017-08-20
5;Levadeiakos;PAOK;D;6.0;4.0;1.53;G1;2017-08-20
6;Platanias;Panathinaikos;D;4.2;3.1;2.0;G1;2017-08-20
7;Atromitos;Apollon;D;1.75;3.25;5.25;G1;2017-08-21
8;Lamia;Olympiakos;A;15.0;7.0;1.17;G1;2017-08-26
9;Panetolikos;Atromitos;D;2.4;3.0;3.2;G1;2017-08-26
10;Platanias;Xanthi;A;2.3;3.0;3.4;G1;2017-08-26
11;Giannina;AEK;D;4.0;3.3;1.95;G1;2017-08-27
12;Panathinaikos;Levadeiakos;D;1.17;7.0;15.0;G1;2017-08-27
13;Panionios;Apollon;H;1.6;3.3;6.5;G1;2017-08-27
14;PAOK;Kerkyra;H;1.07;8.5;21.0;G1;2017-08-27
15;Larisa;Asteras Tripolis;D;2.9;3.0;2.6;G1;2017-08-28
16;Asteras Tripolis;Lamia;A;1.55;3.3;8.5;G1;2017-09-09
17;Atromitos;Giannina;D;2.0;3.1;4.2;G1;2017-09-09
18;Xanthi;Olympiakos;D;9.0;4.2;1.4;G1;2017-09-09
19;AEK;Larisa;H;1.2;6.0;15.0;G1;2017-09-10
20;Kerkyra;Panathinaikos;H;7.0;3.5;1.57;G1;2017-09-10
21;Levadeiakos;Platanias;D;2.25;3.1;3.3;G1;2017-09-10
22;Panionios;Panetolikos;D;1.65;3.3;6.5;G1;2017-09-10
23;Apollon;PAOK;D;10.0;4.33;1.36;G1;2017-09-11
24;Levadeiakos;Xanthi;H;2.3;3.0;3.4;G1;2017-09-16
25;Olympiakos;Asteras Tripolis;D;1.22;6.0;13.0;G1;2017-09-16
26;PAOK;Panetolikos;H;1.17;6.5;19.0;G1;2017-09-16
27;Lamia;AEK;A;15.0;5.0;1.25;G1;2017-09-17
28;Larisa;Atromitos;D;3.0;3.0;2.5;G1;2017-09-17
29;Panathinaikos;Apollon;H;1.25;5.5;12.0;G1;2017-09-17
30;Platanias;Kerkyra;D;1.67;3.3;6.0;G1;2017-09-17
31;Giannina;Panionios;D;2.5;3.0;3.0;G1;2017-09-18
32;Apollon;Platanias;A;2.25;3.0;3.5;G1;2017-09-23
33;Atromitos;Lamia;H;1.73;3.1;6.0;G1;2017-09-23
34;Panetolikos;Panathinaikos;H;3.6;3.1;2.15;G1;2017-09-23
35;AEK;Olympiakos;H;2.3;3.0;3.4;G1;2017-09-24
36;Kerkyra;Levadeiakos;D;2.5;3.0;3.0;G1;2017-09-24
37;Panionios;Larisa;H;1.62;3.2;7.5;G1;2017-09-24
38;PAOK;Giannina;H;1.25;5.0;15.0;G1;2017-09-24
39;Xanthi;Asteras Tripolis;D;2.1;3.1;3.75;G1;2017-09-25
40;Atromitos;Asteras Tripolis;H;1.85;3.4;4.33;G1;2017-10-14
41;Giannina;Platanias;H;1.8;3.4;4.75;G1;2017-10-14
42;Panionios;Olympiakos;A;7.5;4.33;1.44;G1;2017-10-14
43;Apollon;Kerkyra;D;1.95;3.25;4.1;G1;2017-10-15
44;Panetolikos;Levadeiakos;A;1.83;3.25;4.75;G1;2017-10-15
45;PAOK;Lamia;H;1.14;7.5;17.0;G1;2017-10-15
46;Xanthi;AEK;D;4.2;3.25;1.91;G1;2017-10-15
47;Panathinaikos;Larisa;H;1.22;5.5;15.0;G1;2017-10-16
48;Kerkyra;Panetolikos;H;3.0;3.0;2.5;G1;2017-10-21
49;Lamia;Panathinaikos;D;5.0;3.1;1.85;G1;2017-10-21
50;Levadeiakos;Giannina;D;2.5;3.1;2.89;G1;2017-10-21
51;Apollon;Xanthi;H;2.87;3.0;2.62;G1;2017-10-22
52;Asteras Tripolis;Panionios;A;2.14;3.1;3.6;G1;2017-10-22
53;Olympiakos;PAOK;H;1.85;3.5;4.2;G1;2017-10-22
54;Platanias;Larisa;A;1.72;3.39;5.25;G1;2017-10-22
55;AEK;Atromitos;A;1.36;4.33;9.5;G1;2017-10-23
56;Giannina;Kerkyra;H;1.55;3.6;7.0;G1;2017-10-28
57;Larisa;Levadeiakos;H;2.37;2.89;3.25;G1;2017-10-28
58;Panathinaikos;Olympiakos;H;3.5;3.2;2.14;G1;2017-10-28
59;Lamia;Platanias;H;2.2;3.1;3.5;G1;2017-10-29
60;Panetolikos;Apollon;D;1.57;3.5;7.0;G1;2017-10-29
61;Panionios;AEK;A;3.7;3.1;2.1;G1;2017-10-29
62;Xanthi;Atromitos;A;2.35;3.0;3.29;G1;2017-10-29
63;PAOK;Asteras Tripolis;H;1.3;4.75;12.0;G1;2017-10-30
64;Asteras Tripolis;Panathinaikos;H;3.0;2.87;2.6;G1;2017-11-04
65;Atromitos;Panionios;D;2.2;2.89;3.75;G1;2017-11-04
66;Panetolikos;Xanthi;A;2.2;2.89;3.75;G1;2017-11-04
67;AEK;PAOK;H;2.2;3.0;3.6;G1;2017-11-05
68;Apollon;Giannina;H;2.5;2.87;3.2;G1;2017-11-05
69;Kerkyra;Larisa;D;2.29;2.89;3.5;G1;2017-11-05
70;Olympiakos;Platanias;H;1.16;7.0;15.0;G1;2017-11-05
71;Levadeiakos;Lamia;D;1.9;3.1;4.5;G1;2017-11-06
72;Lamia;Kerkyra;D;1.85;3.25;4.59;G1;2017-11-18
73;Larisa;Apollon;H;2.1;3.0;4.0;G1;2017-11-18
74;Olympiakos;Levadeiakos;H;1.09;9.0;26.0;G1;2017-11-18
75;Giannina;Panetolikos;D;1.95;3.25;4.09;G1;2017-11-19
76;Panathinaikos;AEK;D;2.2;3.2;3.39;G1;2017-11-19
77;Platanias;Asteras Tripolis;A;2.14;3.0;3.75;G1;2017-11-19
78;Xanthi;Panionios;H;2.5;3.0;3.0;G1;2017-11-19
79;PAOK;Atromitos;H;1.39;4.2;9.5;G1;2017-11-20
80;Apollon;Lamia;D;2.1;2.87;4.2;G1;2017-11-25
81;Atromitos;Panathinaikos;D;2.45;2.87;3.25;G1;2017-11-25
82;Giannina;Xanthi;D;2.29;3.0;3.39;G1;2017-11-25
83;Asteras Tripolis;Levadeiakos;H;1.9;2.87;5.25;G1;2017-11-26
84;Kerkyra;Olympiakos;A;12.0;5.5;1.25;G1;2017-11-26
85;Panetolikos;Larisa;H;1.72;3.25;5.5;G1;2017-11-26
86;Panionios;PAOK;D;4.75;3.2;1.85;G1;2017-11-26
87;AEK;Platanias;H;1.16;7.0;15.0;G1;2017-11-27
88;Asteras Tripolis;Kerkyra;H;1.64;3.29;6.0;G1;2017-12-02
89;Olympiakos;Apollon;H;1.14;7.5;17.0;G1;2017-12-02
90;Xanthi;PAOK;A;5.75;3.39;1.66;G1;2017-12-02
91;Lamia;Panetolikos;D;2.45;2.89;3.29;G1;2017-12-03
