HomeTeam;AwayTeam;FTR;Div;Aposta;odd;resultado_aposta;retorno;faixa_odd
Asteras Tripolis;Giannina;A;G1;H;1.7;perdida;-100.0;(1.5, 1.75]
Olympiakos;Larisa;H;G1;H;1.17;ganha;16.999999999999993;(1.0, 1.25]
Xanthi;Lamia;D;G1;H;1.67;perdida;-100.0;(1.5, 1.75]
AEK;Panetolikos;H;G1;H;1.36;ganha;36.00000000000001;(1.25, 1.5]
Kerkyra;Panionios;A;G1;H;3.75;perdida;-100.0;(3.5, 4.0]
Levadeiakos;PAOK;D;G1;H;6.0;perdida;-100.0;(5.0, 10.0]
Platanias;Panathinaikos;D;G1;H;4.2;perdida;-100.0;(4.0, 4.5]
Atromitos;Apollon;D;G1;H;1.75;perdida;-100.0;(1.5, 1.75]
Lamia;Olympiakos;A;G1;H;15.0;perdida;-100.0;(10.0, 15.0]
Panetolikos;Atromitos;D;G1;H;2.4;perdida;-100.0;(2.25, 2.5]
Platanias;Xanthi;A;G1;H;2.3;perdida;-100.0;(2.25, 2.5]
Giannina;AEK;D;G1;H;4.0;perdida;-100.0;(3.5, 4.0]
Panathinaikos;Levadeiakos;D;G1;H;1.17;perdida;-100.0;(1.0, 1.25]
Panionios;Apollon;H;G1;H;1.6;ganha;60.00000000000001;(1.5, 1.75]
PAOK;Kerkyra;H;G1;H;1.07;ganha;7.000000000000006;(1.0, 1.25]
Larisa;Asteras Tripolis;D;G1;H;2.9;perdida;-100.0;(2.5, 3.0]
Asteras Tripolis;Lamia;A;G1;H;1.55;perdida;-100.0;(1.5, 1.75]
Atromitos;Giannina;D;G1;H;2.0;perdida;-100.0;(1.75, 2.0]
Xanthi;Olympiakos;D;G1;H;9.0;perdida;-100.0;(5.0, 10.0]
AEK;Larisa;H;G1;H;1.2;ganha;19.999999999999996;(1.0, 1.25]
Kerkyra;Panathinaikos;H;G1;H;7.0;ganha;600.0;(5.0, 10.0]
Levadeiakos;Platanias;D;G1;H;2.25;perdida;-100.0;(2.0, 2.25]
Panionios;Panetolikos;D;G1;H;1.65;perdida;-100.0;(1.5, 1.75]
Apollon;PAOK;D;G1;H;10.0;perdida;-100.0;(5.0, 10.0]
Levadeiakos;Xanthi;H;G1;H;2.3;ganha;129.99999999999997;(2.25, 2.5]
Olympiakos;Asteras Tripolis;D;G1;H;1.22;perdida;-100.0;(1.0, 1.25]
PAOK;Panetolikos;H;G1;H;1.17;ganha;16.999999999999993;(1.0, 1.25]
Lamia;AEK;A;G1;H;15.0;perdida;-100.0;(10.0, 15.0]
Larisa;Atromitos;D;G1;H;3.0;perdida;-100.0;(2.5, 3.0]
Panathinaikos;Apollon;H;G1;H;1.25;ganha;25.0;(1.0, 1.25]
Platanias;Kerkyra;D;G1;H;1.67;perdida;-100.0;(1.5, 1.75]
Giannina;Panionios;D;G1;H;2.5;perdida;-100.0;(2.25, 2.5]
Apollon;Platanias;A;G1;H;2.25;perdida;-100.0;(2.0, 2.25]
Atromitos;Lamia;H;G1;H;1.73;ganha;73.0;(1.5, 1.75]
Panetolikos;Panathinaikos;H;G1;H;3.6;ganha;260.0;(3.5, 4.0]
AEK;Olympiakos;H;G1;H;2.3;ganha;129.99999999999997;(2.25, 2.5]
Kerkyra;Levadeiakos;D;G1;H;2.5;perdida;-100.0;(2.25, 2.5]
Panionios;Larisa;H;G1;H;1.62;ganha;62.000000000000014;(1.5, 1.75]
PAOK;Giannina;H;G1;H;1.25;ganha;25.0;(1.0, 1.25]
Xanthi;Asteras Tripolis;D;G1;H;2.1;perdida;-100.0;(2.0, 2.25]
Atromitos;Asteras Tripolis;H;G1;H;1.85;ganha;85.00000000000001;(1.75, 2.0]
Giannina;Platanias;H;G1;H;1.8;ganha;80.0;(1.75, 2.0]
Panionios;Olympiakos;A;G1;H;7.5;perdida;-100.0;(5.0, 10.0]
Apollon;Kerkyra;D;G1;H;1.95;perdida;-100.0;(1.75, 2.0]
Panetolikos;Levadeiakos;A;G1;H;1.83;perdida;-100.0;(1.75, 2.0]
PAOK;Lamia;H;G1;H;1.14;ganha;13.99999999999999;(1.0, 1.25]
Xanthi;AEK;D;G1;H;4.2;perdida;-100.0;(4.0, 4.5]
Panathinaikos;Larisa;H;G1;H;1.22;ganha;21.999999999999996;(1.0, 1.25]
Kerkyra;Panetolikos;H;G1;H;3.0;ganha;200.0;(2.5, 3.0]
Lamia;Panathinaikos;D;G1;H;5.0;perdida;-100.0;(4.5, 5.0]
Levadeiakos;Giannina;D;G1;H;2.5;perdida;-100.0;(2.25, 2.5]
Apollon;Xanthi;H;G1;H;2.87;ganha;187.0;(2.5, 3.0]
Asteras Tripolis;Panionios;A;G1;H;2.14;perdida;-100.0;(2.0, 2.25]
Olympiakos;PAOK;H;G1;H;1.85;ganha;85.00000000000001;(1.75, 2.0]
Platanias;Larisa;A;G1;H;1.72;perdida;-100.0;(1.5, 1.75]
AEK;Atromitos;A;G1;H;1.36;perdida;-100.0;(1.25, 1.5]
Giannina;Kerkyra;H;G1;H;1.55;ganha;55.00000000000001;(1.5, 1.75]
Larisa;Levadeiakos;H;G1;H;2.37;ganha;137.0;(2.25, 2.5]
Panathinaikos;Olympiakos;H;G1;H;3.5;ganha;250.0;(3.0, 3.5]
Lamia;Platanias;H;G1;H;2.2;ganha;120.00000000000001;(2.0, 2.25]
Panetolikos;Apollon;D;G1;H;1.57;perdida;-100.0;(1.5, 1.75]
Panionios;AEK;A;G1;H;3.7;perdida;-100.0;(3.5, 4.0]
Xanthi;Atromitos;A;G1;H;2.35;perdida;-100.0;(2.25, 2.5]
PAOK;Asteras Tripolis;H;G1;H;1.3;ganha;30.000000000000004;(1.25, 1.5]
Asteras Tripolis;Panathinaikos;H;G1;H;3.0;ganha;200.0;(2.5, 3.0]
Atromitos;Panionios;D;G1;H;2.2;perdida;-100.0;(2.0, 2.25]
Panetolikos;Xanthi;A;G1;H;2.2;perdida;-100.0;(2.0, 2.25]
AEK;PAOK;H;G1;H;2.2;ganha;120.00000000000001;(2.0, 2.25]
Apollon;Giannina;H;G1;H;2.5;ganha;150.0;(2.25, 2.5]
Kerkyra;Larisa;D;G1;H;2.29;perdida;-100.0;(2.25, 2.5]
Olympiakos;Platanias;H;G1;H;1.16;ganha;15.999999999999993;(1.0, 1.25]
Levadeiakos;Lamia;D;G1;H;1.9;perdida;-100.0;(1.75, 2.0]
Lamia;Kerkyra;D;G1;H;1.85;perdida;-100.0;(1.75, 2.0]
Larisa;Apollon;H;G1;H;2.1;ganha;110.00000000000001;(2.0, 2.25]
Olympiakos;Levadeiakos;H;G1;H;1.09;ganha;9.000000000000007;(1.0, 1.25]
