,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,03/01/2020,Indian Super League - IN,Bengaluru x FC Goa,90,2x1,4,6,2,9,5,8,80,84,41,59,80,84,18,42,1.03,1.04,1000.0,,26.0,55.0,,,,,,,,,15.0,26.0,1.05,1.07,1000.0,,,1.01,1000.0,,1000.0,,13.0,
1,03/01/2020,Qatari Stars League - QA,Umm Salal x Al-Rayyan SC,30,0x1,1,2,0,2,1,2,15,31,32,68,5,9,16,34,25.0,27.0,1.17,1.19,8.4,9.0,1.1,1.11,10.5,11.0,1.48,1.5,3.0,3.1,2.46,2.58,1.64,1.68,4.9,5.2,1.24,1.26,14.5,370.0,4.6,5.0,65.0,
2,03/01/2020,Indian Super League - IN,Bengaluru x FC Goa,FT,2x1,4,7,2,10,5,9,81,87,41,59,81,87,8,62,,1.01,1000.0,,34.0,,,,,,,,,,5.5,,,1.01,1.04,,,1.01,1000.0,,1000.0,,21.0,
3,03/01/2020,Brazilian Sao Paulo Youth Cup - BR,CA Assisense U20 x Botafogo SP U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,2.92,500.0,1.04,1.53,2.92,,1.07,1.21,5.5,15.5,1.07,1.69,2.22,15.5,1.07,6.0,1.48,15.5,3.85,7.4,1.17,1.35,1.05,,1.05,,1.05,
4,03/01/2020,Brazilian Sao Paulo Youth Cup - BR,Comercial SP U20 x Desportiva Perilima U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.02,500.0,1.03,500.0,4.0,,1.04,3.0,1.5,26.0,1.04,3.0,1.5,26.0,1.04,6.4,1.2,26.0,1.04,11.0,1.11,26.0,,,,,1.02,
5,03/01/2020,Greek Super League 2 - GR,Panachaiki x Platanias,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.83,1.89,5.3,5.6,3.5,3.75,1.41,1.49,3.05,3.4,2.32,2.4,1.72,1.75,4.5,4.8,1.26,1.28,10.0,13.5,1.08,1.11,14.5,17.0,80.0,110.0,1000.0,
6,03/01/2020,Brazilian Sao Paulo Youth Cup - BR,Tanabi U20 x CA Votuporanguense U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,3.75,29.0,1.11,2.28,3.4,26.0,1.18,1.32,3.9,6.6,1.73,1.91,2.1,2.38,2.86,4.2,1.32,1.54,6.0,10.5,1.11,1.2,7.4,,2.26,,1.15,
7,03/01/2020,Brazilian Sao Paulo Youth Cup - BR,Manthiqueira U20 x Sao Bernardo FC SP U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,4.2,4.8,1.83,1.9,3.85,4.6,1.19,1.26,4.8,6.4,1.61,1.71,2.42,2.64,2.54,2.68,1.6,1.65,4.5,5.5,1.22,1.28,19.0,110.0,6.0,12.0,36.0,990.0
8,03/01/2020,Brazilian Sao Paulo Youth Cup - BR,Taboao de Serra U20 x Inter Limeira U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,3.35,3.7,2.14,2.28,3.65,3.85,1.27,1.34,4.0,4.8,1.81,1.9,2.12,2.24,3.05,3.45,1.41,1.48,5.3,7.8,1.15,1.24,18.0,65.0,9.8,22.0,11.0,990.0
9,03/01/2020,Brazilian Sao Paulo Youth Cup - BR,AA Flamengo Guarulhos U20 x AD Guarulhos U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.51,1.59,7.0,8.2,4.3,5.0,1.33,1.36,3.85,4.0,1.72,2.04,1.98,2.4,2.82,4.3,1.31,1.39,5.3,8.8,1.13,1.24,5.2,10.0,30.0,,1000.0,
