,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,07/01/2020,Brazilian Sao Paulo Youth Cup - BR,Fluminense EC Teresina U20 x Corinthians U20,80,0x2,4,6,3,8,0,4,34,68,33,67,4,7,27,43,1000.0,,,1.01,100.0,630.0,,,,,2.2,2.26,1.79,1.82,9.2,10.5,1.11,1.12,34.0,55.0,1.02,1.03,9.4,,9.6,95.0,9.4,
1,07/01/2020,Brazilian Sao Paulo Youth Cup - BR,Fluminense EC Teresina U20 x Corinthians U20,90,1x3,5,8,3,8,0,4,40,74,35,65,7,7,17,33,1000.0,,,1.01,120.0,,,,,,,,,,,,,,6.8,7.8,1.15,1.17,1000.0,,6.0,12.5,1000.0,
2,07/01/2020,Brazilian Sao Paulo Youth Cup - BR,Fluminense EC Teresina U20 x Corinthians U20,FT,1x3,5,8,4,8,0,4,41,76,35,65,8,9,27,33,1.15,,,1.01,2.0,,,,,,,,,,,,,,1.26,,,1.1,,,,,1000.0,
3,07/01/2020,Jamaican Premier League - JM,Arnett Gardens x Molynes United FC,60,2x1,4,1,7,4,7,0,41,34,54,46,11,6,21,9,1.17,1.19,42.0,65.0,7.2,7.4,,,,,,,,,1.55,1.62,2.62,2.82,3.75,3.8,1.35,1.36,5.8,7.8,170.0,1000.0,140.0,
4,07/01/2020,Jamaican Premier League - JM,Arnett Gardens x Molynes United FC,70,2x2,5,2,7,6,7,2,45,40,53,47,4,6,21,39,2.76,2.94,7.4,8.2,1.88,1.94,,,,,,,,,,,,,1.79,1.8,2.24,2.26,9.2,13.5,34.0,44.0,6.0,
5,07/01/2020,Jamaican Premier League - JM,Arnett Gardens x Molynes United FC,80,2x2,6,2,8,6,7,2,51,43,54,46,7,4,31,9,4.0,4.3,10.0,10.5,1.5,1.52,,,,,,,,,,,,,2.68,2.94,1.52,1.6,19.0,1000.0,85.0,1000.0,180.0,
6,07/01/2020,Jamaican Premier League - JM,Arnett Gardens x Molynes United FC,90,2x2,7,2,9,7,10,3,55,45,55,45,5,3,41,19,7.0,8.0,20.0,40.0,1.2,1.24,,,,,,,,,,,,,5.0,5.8,1.21,1.25,44.0,,34.0,,6.8,
7,07/01/2020,Jamaican Premier League - JM,Arnett Gardens x Molynes United FC,FT,2x2,7,2,9,7,11,4,60,52,53,47,10,10,11,9,1.06,,1.53,,1.01,,,,,,,,,,,,,,1.26,,,,1.03,,1.03,,1.03,
8,07/01/2020,Egyptian Premier - EG,Aswan FC x El Gounah,20,1x0,1,1,1,0,0,1,14,13,50,50,6,7,20,10,1.8,1.81,5.9,6.0,3.6,3.65,1.21,1.22,5.6,5.8,1.94,1.99,2.0,2.08,4.1,4.3,1.31,1.32,10.0,11.0,1.1,1.11,29.0,540.0,50.0,60.0,20.0,
9,07/01/2020,Portuguese U23 - PT,Estoril U23 x Academica U23,45,0x0,1,2,5,2,0,4,35,37,49,51,8,11,10,40,1.91,1.96,5.7,6.2,3.1,3.3,1.96,2.04,1.98,2.04,4.1,4.2,1.31,1.32,10.0,11.0,1.1,1.11,34.0,46.0,1.02,1.03,28.0,44.0,310.0,,1000.0,
10,07/01/2020,Portuguese U23 - PT,Portimonense U23 x Famalicao U23,90,4x0,10,1,5,3,4,7,89,63,51,49,10,6,30,20,,1.01,1000.0,,1000.0,,,,,,,,,,,,,,21.0,36.0,1.03,1.05,,,1.05,,85.0,
11,07/01/2020,Israeli Liga Bet - IL,Ironi Bnei Kabul x Bnei Bir Al Maksur,45,1x0,1,0,7,1,1,1,28,14,63,37,8,3,52,7,1.02,1.03,200.0,880.0,34.0,70.0,1.04,1.06,15.0,22.0,1.22,1.71,2.4,5.6,2.04,2.76,1.56,1.96,2.42,6.6,1.18,1.7,1.95,3.0,1000.0,,1000.0,
12,07/01/2020,Portuguese U23 - PT,Estoril U23 x Academica U23,45,0x0,1,2,5,2,0,4,35,37,49,51,8,11,10,40,1.91,1.96,5.7,6.2,3.1,3.3,1.96,2.04,1.98,2.04,4.1,4.2,1.31,1.32,10.0,11.0,1.1,1.11,34.0,46.0,1.02,1.03,28.0,44.0,310.0,,1000.0,
